[2026-07-01 17:22:27,133] NetworkSecurity - INFO - Initiate the data ingestion
[2026-07-01 17:22:32,766] NetworkSecurity - INFO - Performed train test split
[2026-07-01 17:22:32,766] NetworkSecurity - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-07-01 17:22:32,768] NetworkSecurity - INFO - Exporting train and test split
[2026-07-01 17:22:32,815] NetworkSecurity - INFO - Exported train and test split file path
[2026-07-01 17:22:32,816] NetworkSecurity - INFO - Data Initiation Completed
[2026-07-01 17:22:32,821] NetworkSecurity - INFO - Initiate the data validation
[2026-07-01 17:22:32,841] NetworkSecurity - INFO - Required no of Columns:2
[2026-07-01 17:22:32,841] NetworkSecurity - INFO - Dataframe has Columns:31
[2026-07-01 17:22:32,841] NetworkSecurity - INFO - Required no of Columns:2
[2026-07-01 17:22:32,841] NetworkSecurity - INFO - Dataframe has Columns:31
[2026-07-01 17:22:32,959] NetworkSecurity - INFO - data validation completed
[2026-07-01 17:22:32,959] NetworkSecurity - INFO - data transformation started
[2026-07-01 17:22:32,959] NetworkSecurity - INFO - Starting data transformation
[2026-07-01 17:22:32,979] NetworkSecurity - INFO - Entered get_transformer object method of transformation class
[2026-07-01 17:22:32,991] NetworkSecurity - INFO - Entered the save object method of main utils class
[2026-07-01 17:22:32,994] NetworkSecurity - INFO - Exited the save object method of main utils class
[2026-07-01 17:22:32,995] NetworkSecurity - INFO - Data transformation completed
[2026-07-01 17:22:32,995] NetworkSecurity - INFO - Model training started
[2026-07-01 17:25:35,449] NetworkSecurity - INFO - Entered the save object method of main utils class
[2026-07-01 17:25:35,540] NetworkSecurity - INFO - Exited the save object method of main utils class
[2026-07-01 17:25:35,540] NetworkSecurity - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_01_2026_17_22_26\\modeltraining\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911947168300981, precision_score=0.9868499701135685, recall_score=0.9955778894472361), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.97581317764804, precision_score=0.962171052631579, recall_score=0.9898477157360406))
[2026-07-01 17:25:35,544] NetworkSecurity - INFO - Model training completed
