[2026-06-21 00:13:19,744] NetworkSecurity - INFO - Initiate the data ingestion
[2026-06-21 00:13:24,417] NetworkSecurity - INFO - Performed train test split
[2026-06-21 00:13:24,417] NetworkSecurity - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-21 00:13:24,417] NetworkSecurity - INFO - Exporting train and test split
[2026-06-21 00:13:24,454] NetworkSecurity - INFO - Exported train and test split file path
[2026-06-21 00:13:24,455] NetworkSecurity - INFO - Data Initiation Completed
[2026-06-21 00:13:24,459] NetworkSecurity - INFO - Initiate the data validation
[2026-06-21 00:13:24,477] NetworkSecurity - INFO - Required no of Columns:2
[2026-06-21 00:13:24,477] NetworkSecurity - INFO - Dataframe has Columns:31
[2026-06-21 00:13:24,477] NetworkSecurity - INFO - Required no of Columns:2
[2026-06-21 00:13:24,477] NetworkSecurity - INFO - Dataframe has Columns:31
[2026-06-21 00:13:24,585] NetworkSecurity - INFO - data validation completed
[2026-06-21 00:13:24,585] NetworkSecurity - INFO - data transformation started
[2026-06-21 00:13:24,585] NetworkSecurity - INFO - Starting data transformation
[2026-06-21 00:13:24,601] NetworkSecurity - INFO - Entered get_transformer object method of transformation class
[2026-06-21 00:13:24,610] NetworkSecurity - INFO - Entered the save object method of main utils class
[2026-06-21 00:13:24,612] NetworkSecurity - INFO - Exited the save object method of main utils class
[2026-06-21 00:13:24,612] NetworkSecurity - INFO - Data transformation completed
