[2026-07-01 17:17:03,732] NetworkSecurity - INFO - Initiate the data ingestion
[2026-07-01 17:17:12,338] NetworkSecurity - INFO - Performed train test split
[2026-07-01 17:17:12,338] NetworkSecurity - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-07-01 17:17:12,338] NetworkSecurity - INFO - Exporting train and test split
[2026-07-01 17:17:12,387] NetworkSecurity - INFO - Exported train and test split file path
[2026-07-01 17:17:12,387] NetworkSecurity - INFO - Data Initiation Completed
[2026-07-01 17:17:12,392] NetworkSecurity - INFO - Initiate the data validation
[2026-07-01 17:17:12,410] NetworkSecurity - INFO - Required no of Columns:2
[2026-07-01 17:17:12,410] NetworkSecurity - INFO - Dataframe has Columns:31
[2026-07-01 17:17:12,412] NetworkSecurity - INFO - Required no of Columns:2
[2026-07-01 17:17:12,412] NetworkSecurity - INFO - Dataframe has Columns:31
[2026-07-01 17:17:12,549] NetworkSecurity - INFO - data validation completed
[2026-07-01 17:17:12,549] NetworkSecurity - INFO - data transformation started
[2026-07-01 17:17:12,549] NetworkSecurity - INFO - Starting data transformation
[2026-07-01 17:17:12,569] NetworkSecurity - INFO - Entered get_transformer object method of transformation class
[2026-07-01 17:17:12,579] NetworkSecurity - INFO - Entered the save object method of main utils class
[2026-07-01 17:17:12,582] NetworkSecurity - INFO - Exited the save object method of main utils class
[2026-07-01 17:17:12,582] NetworkSecurity - INFO - Data transformation completed
[2026-07-01 17:17:12,582] NetworkSecurity - INFO - Model training started
[2026-07-01 17:19:54,389] NetworkSecurity - INFO - Entered the save object method of main utils class
[2026-07-01 17:19:54,398] NetworkSecurity - INFO - Exited the save object method of main utils class
