[2026-06-21 00:12:19,214] NetworkSecurity - INFO - Initiate the data ingestion
[2026-06-21 00:12:24,484] NetworkSecurity - INFO - Performed train test split
[2026-06-21 00:12:24,484] NetworkSecurity - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-21 00:12:24,485] NetworkSecurity - INFO - Exporting train and test split
[2026-06-21 00:12:24,528] NetworkSecurity - INFO - Exported train and test split file path
[2026-06-21 00:12:24,529] NetworkSecurity - INFO - Data Initiation Completed
[2026-06-21 00:12:24,534] NetworkSecurity - INFO - Initiate the data validation
[2026-06-21 00:12:24,551] NetworkSecurity - INFO - Required no of Columns:2
[2026-06-21 00:12:24,551] NetworkSecurity - INFO - Dataframe has Columns:31
[2026-06-21 00:12:24,551] NetworkSecurity - INFO - Required no of Columns:2
[2026-06-21 00:12:24,551] NetworkSecurity - INFO - Dataframe has Columns:31
[2026-06-21 00:12:24,663] NetworkSecurity - INFO - data validation completed
[2026-06-21 00:12:24,664] NetworkSecurity - INFO - data transformation started
[2026-06-21 00:12:24,664] NetworkSecurity - INFO - Starting data transformation
[2026-06-21 00:12:24,682] NetworkSecurity - INFO - Entered get_transformer object method of transformation class
[2026-06-21 00:12:24,693] NetworkSecurity - INFO - Entered the save object method of main utils class
[2026-06-21 00:12:24,695] NetworkSecurity - INFO - Exited the save object method of main utils class
