[2026-07-01 17:13:30,359] NetworkSecurity - INFO - Initiate the data ingestion
[2026-07-01 17:13:37,160] NetworkSecurity - INFO - Performed train test split
[2026-07-01 17:13:37,160] NetworkSecurity - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-07-01 17:13:37,160] NetworkSecurity - INFO - Exporting train and test split
[2026-07-01 17:13:37,206] NetworkSecurity - INFO - Exported train and test split file path
[2026-07-01 17:13:37,206] NetworkSecurity - INFO - Data Initiation Completed
[2026-07-01 17:13:37,210] NetworkSecurity - INFO - Initiate the data validation
[2026-07-01 17:13:37,228] NetworkSecurity - INFO - Required no of Columns:2
[2026-07-01 17:13:37,228] NetworkSecurity - INFO - Dataframe has Columns:31
[2026-07-01 17:13:37,230] NetworkSecurity - INFO - Required no of Columns:2
[2026-07-01 17:13:37,230] NetworkSecurity - INFO - Dataframe has Columns:31
[2026-07-01 17:13:37,344] NetworkSecurity - INFO - data validation completed
[2026-07-01 17:13:37,345] NetworkSecurity - INFO - data transformation started
[2026-07-01 17:13:37,345] NetworkSecurity - INFO - Starting data transformation
[2026-07-01 17:13:37,366] NetworkSecurity - INFO - Entered get_transformer object method of transformation class
[2026-07-01 17:13:37,378] NetworkSecurity - INFO - Entered the save object method of main utils class
[2026-07-01 17:13:37,380] NetworkSecurity - INFO - Exited the save object method of main utils class
[2026-07-01 17:13:37,382] NetworkSecurity - INFO - Data transformation completed
[2026-07-01 17:13:37,382] NetworkSecurity - INFO - Model training started
